,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,
Ashland ,,,,,,,,,TRUE,
Barron ,,,,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,TRUE,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,TRUE,,
Columbia ,,TRUE,,,TRUE,,,TRUE,,
Crawford ,,,,,,,,,,
Dane ,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dodge ,,,,TRUE,,,,,,
Door ,,,,,,,,,,
Douglas ,,,,,,TRUE,TRUE,,,TRUE
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,TRUE,,,
Florence ,,,,,,,,TRUE,,
Fond du Lac ,,,,,,TRUE,,,,
Forest ,,,,,TRUE,,,,TRUE,
Grant ,,,,,,,,TRUE,,
Green ,,,TRUE,,,,,TRUE,,
Green Lake ,,,,,,,,TRUE,,
Iowa ,,,,,,,,,,
Iron ,,,,,TRUE,,,,,
Jackson ,,,,TRUE,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,TRUE,,,,,,TRUE,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,TRUE,,,
Lincoln ,,,,,,,,TRUE,,TRUE
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,,,,TRUE,,
Oconto ,TRUE,,,,TRUE,,,,,TRUE
Oneida ,,,,,TRUE,,TRUE,TRUE,,TRUE
Outagamie ,,,,,,,,TRUE,TRUE,TRUE
Ozaukee ,,,,,,,,,TRUE,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,,
Polk ,,,,,,,,,,
Portage ,,,,,,,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,TRUE,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,TRUE,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,TRUE,TRUE
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,TRUE,
Vilas ,,,,,,,,,,
Walworth ,,,,,,,,,TRUE,
Washburn ,,,,,,,,TRUE,,
Washington ,,,,,,,,,,TRUE
Waukesha ,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE
Waupaca ,,,,,,TRUE,,,TRUE,TRUE
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,TRUE,,,,,,
