,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,
Ashland ,,,,,,,,,TRUE,
Barron ,,,TRUE,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,,,
Columbia ,,,,,,,,,,
Crawford ,,,,,,,,,,
Dane ,,,,,,,,,,
Dodge ,,,,,,,,,,
Door ,,,,,,,,,,
Douglas ,,,,,,,TRUE,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,TRUE,,TRUE,,
Forest ,,,,,,,,,,
Grant ,,,,,,,,,,
Green ,,,,,,,,TRUE,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,,,,,,
Jackson ,,,,TRUE,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,TRUE
Kewaunee ,,,,,,,,,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,TRUE,,,
Lincoln ,,,,,,,,,,
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,,,,,,
Oconto ,,,,,,,,,,
Oneida ,,,,,,,,,,
Outagamie ,,,,,,,,TRUE,,
Ozaukee ,,,,,,,,,,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,,
Polk ,,,,,,,,,,
Portage ,,,,,,,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,TRUE,TRUE
Sawyer ,,,,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,,
Vilas ,,,,,,,,,,
Walworth ,,,,,,,,,TRUE,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,TRUE
Waukesha ,,,,,,,,,,
Waupaca ,,,,,,,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,TRUE,,,,,,
