,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,,,,,,
Ashland ,,,,,,,,,,,,,,,
Barron ,,,,,,,,,,,,,,,
Bayfield ,,,,,,,,,,,,,,,
Brown ,,,,,,,,,,,,,,,
Buffalo ,,,,,,,,,,,,,,,
Burnett ,,,,,,,,,,,,,,,
Calumet ,,,,,,,,,,,TRUE,,,,
Chippewa ,,,,,,,,,,,,,,,
Clark ,,,,,,,,,,,,,,,
Columbia ,,,,,,,,,,,,,,,
Crawford ,,,,,,,,,,,,,,,
Dane ,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,
Dodge ,,,,,,,,,,,,,,,
Door ,,,,,,,,,,,,,,,
Douglas ,,,,,,,,,,,TRUE,TRUE,,,
Dunn ,,,,,,,,,,,,,,,
Eau Claire ,,,,,,,,,,,,,,,
Florence ,,,,,,,,,,,,,,,
Fond du Lac ,,,,,,,,,,,,,,,
Forest ,,,,,,,,,,,,,,,
Grant ,,,,,,,,,,,,,,,
Green ,,,,,,,,,,,,,,,
Green Lake ,,,,,,,,,,,,,,,
Iowa ,,,,,,,,,,,,,,,
Iron ,,,,,,,,,,,,,,,
Jackson ,,,,,,,,,,,,,,,
Jefferson ,,,,,,,,,,,,,,,
Juneau ,,,,,,,,,,,,,,,
Kenosha ,,,,,,,,,,,,,,,
Kewaunee ,,,,,,,,,,,,,,,
La Crosse ,,,,,,,,,,,,,,,
Lafayette ,,,,,,,,,,,,,,,
Langlade ,,,,,,,,,,,,,,,
Lincoln ,,,,,,,,,,,,,,,
Manitowoc ,,,,,,,,,,,,,,,
Marathon ,,,,,,,,,,,,,,,
Marinette ,,,,,,,,,,,,,,,TRUE
Marquette ,,,,,,,,,,,,,,,
Menominee ,,,,,,,,TRUE,,,,,TRUE,,
Milwaukee ,,,,,,,,,,,,,,,
Monroe ,,,,,,,,,,,,,,,
Oconto ,,,,,,,,,,,,,,,
Oneida ,,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,TRUE
Outagamie ,,,,,,,,,,,,,,,TRUE
Ozaukee ,,,,,,,,,,,,,,,
Pepin ,,,,,,,,,,,,,,,
Pierce ,,,,,,,,,,,,,,,
Polk ,,,,,,,,,,,,,,,
Portage ,,,,,,,,,,,,,,,
Price ,,,,,,,,,,,,,,,
Racine ,,,,,,,,,,,,,,,
Richland ,,,,,,,,,,,,,,,
Rock ,,,,,,,,,,,,,,,
Rusk ,,,,,,,,,,,,,,,
Saint Croix ,,,,,,,,,,,,,,,
Sauk ,,,,,,,,,,,,,,,
Sawyer ,,,,,,,,,,,,,,,
Shawano ,,,,,,,,,,,,,,,
Sheboygan ,,,,,,,,,,,,,,,
Taylor ,,,,,,,,,,,,,,,
Trempealeau ,,,,,,,,,,,,,,,
Vernon ,,,,,,,,,,,,,,,
Vilas ,,,,,,,,,,,,,,,
Walworth ,,,,,,,,,,,,,,,
Washburn ,,,,,,,,,,,,,,,
Washington ,,,,,,,,,,,,,,,
Waukesha ,,,,,,,,,,,,,,,
Waupaca ,,,,,,,,,,,,,,,
Waushara ,,,,,,,,,,,,,,,
Winnebago ,,,,,,,,,,,,,,,
Wood ,,,,,,,,,,,,,,TRUE,TRUE
