,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,,,,,,
Ashland ,,,,,,,,,,,,,,,
Barron ,,,,,,,,TRUE,,,,,,,
Bayfield ,,,,,,,,,,,,,,,
Brown ,,,,,,,,,,TRUE,,,,,
Buffalo ,,,,,,,,,,,,,,,
Burnett ,,,,,,,,,,,,,,,
Calumet ,,,,,,,,,,,TRUE,,,,
Chippewa ,,,,,,,,,,,,,,,
Clark ,,,TRUE,,,,,,,,,,,,
Columbia ,,,,,,,TRUE,,,TRUE,,,,,TRUE
Crawford ,,,,,,,,,,,,,,,
Dane ,,,,,,,,,,,,TRUE,,,
Dodge ,,,,,,,,,,,,,,,
Door ,,,,,,,,TRUE,,,,,,,
Douglas ,,,,,,,,,,,,TRUE,,,TRUE
Dunn ,,,,,,,,,,,,,,,
Eau Claire ,,,,,,,,,,,,,,,
Florence ,,,,,,,,,,,,,,,
Fond du Lac ,,,,,,,,,,,,,,,
Forest ,,,,,,,,,,,,,,TRUE,
Grant ,,,,,,,,,,,,,,,
Green ,,,,,,,,,,,,,,,
Green Lake ,,,,,,,,,,,,,,,
Iowa ,,,,,,,,,,,,,,,
Iron ,,,,,,,,,,,,,,,
Jackson ,,,,,,,,,,,,,,,
Jefferson ,,,,,,,,,,,,,,,
Juneau ,,,,,,,,,,,,,,,
Kenosha ,,,,,,,,,,,,,,,
Kewaunee ,,,,,,,,,,,,,,,
La Crosse ,,,,,,,,,,,,,,,
Lafayette ,,,,,,,,,,,,,,,
Langlade ,,,,,,,,,,,,,,,
Lincoln ,,,,,,,TRUE,TRUE,,,,,,,
Manitowoc ,,,,,,,,,,,,,,,
Marathon ,,,,,,,,,,,,,,,
Marinette ,,,,,,,,,,,,,,,
Marquette ,,,,,,,,,,,,,,,
Menominee ,,,,,,,,,,,,,,,
Milwaukee ,,,,,,,,,,,,,,,
Monroe ,,,,,,,,,,,,,TRUE,,
Oconto ,,,,,,,,,,,,,,,
Oneida ,,,,,,,,,,,,,,,
Outagamie ,,,,,,,,,,,,,,,
Ozaukee ,,,,,,,,,,,,,,,
Pepin ,,,,,,,,,,,,,,,
Pierce ,,,,,,,,,,,,,,,
Polk ,,,,,,,,,,,,,,,
Portage ,,,,,,,,,,,,,,,
Price ,,,,,,,,,,,,,,,
Racine ,,,,,,,,,,,,,,,
Richland ,,,,,,,,,,,,,,,
Rock ,,,,,,,,,,,,,,,
Rusk ,,,,,,,,,,,,,,,
Saint Croix ,,,,,,,,,,,,,,,
Sauk ,,,,,,,,,,,,,,,
Sawyer ,,,,,,,,,,,,,,,
Shawano ,,,,,,,,,,,,,,,
Sheboygan ,,,,,,,,,,,,,,,
Taylor ,,,,,,,,,,,,,,,
Trempealeau ,,,,,,,,,,,,,,,
Vernon ,,,,,,,,,,,,,,,
Vilas ,,,,,,,,,,,,,,,
Walworth ,,,,,,,,,,,,,,,
Washburn ,,,,,,,,,,,,,,,
Washington ,,,,,,,,,,,,,,,
Waukesha ,,,,,,,,,,,,,,,
Waupaca ,,,,,,,,,,,TRUE,,,TRUE,TRUE
Waushara ,,,,,,,,,,,,,,,
Winnebago ,,,,,,,,,,,,,,,
Wood ,,,,,,,,,,,,,,TRUE,TRUE
