,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,
Ashland ,,,,,,,,,,
Barron ,,,,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,TRUE,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,,,
Columbia ,,TRUE,,,,,,TRUE,,
Crawford ,,,,,,,,,,
Dane ,,,,,,,,,,
Dodge ,,,,,,,,,,
Door ,,,TRUE,,,,,,,
Douglas ,,,,,,,,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,,,,,
Forest ,,,,,,,,,,
Grant ,,,,,,,,,,
Green ,,,TRUE,,,,,,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,,,,,,
Jackson ,,,,,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,TRUE,,,,,,TRUE,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,,,,
Lincoln ,,,,,,,,,,
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,TRUE,,,,,TRUE
Oconto ,,,,,,,,,,
Oneida ,,,,,,,,TRUE,,
Outagamie ,,,,,,,,,,
Ozaukee ,,,,,,,,,,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,,
Polk ,,,,,,,,,,
Portage ,,,,,,TRUE,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,,
Vilas ,,,,,TRUE,TRUE,TRUE,,,
Walworth ,,,,,,,,,,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,
Waukesha ,,,,,,,,,,
Waupaca ,,,,,,,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,,,,,,TRUE,TRUE
