,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,
Ashland ,,,,,,,,,,
Barron ,,,,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,TRUE,,TRUE,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,,,
Columbia ,,,,,,,,,,
Crawford ,,,,,,,,,,
Dane ,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dodge ,,,,,,,,,,
Door ,,,,,,,,,,
Douglas ,,,,,,,,,,TRUE
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,,,,,
Forest ,,,,,,,,,TRUE,
Grant ,,,,,,,,,,
Green ,,,,,,,,,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,,,,,,
Jackson ,,,,,,,,,,
Jefferson ,,,TRUE,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,TRUE,,,,,,,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,,,,
Lincoln ,,,,,,,,,,
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,TRUE,,,,,
Monroe ,,,,,,,,,,
Oconto ,,,,,,,,,,
Oneida ,,,,,,,,,,
Outagamie ,,,,,,,,,,
Ozaukee ,TRUE,,,,,,,,,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,,
Polk ,,,,,,,,,,
Portage ,,,,,,,,,,
Price ,TRUE,,,,,,,TRUE,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,TRUE,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,,
Vilas ,,,,,,,,,,
Walworth ,,,,,,,,,,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,
Waukesha ,,,TRUE,TRUE,TRUE,,,,,TRUE
Waupaca ,,,,,,,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,,,,,,,
