,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,
Ashland ,,,,,,,,,TRUE,
Barron ,,,TRUE,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,TRUE,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,TRUE,,
Columbia ,,,,,TRUE,,,TRUE,,
Crawford ,,,,,,,,,,
Dane ,,,,,,,,,,
Dodge ,,,,TRUE,,,,TRUE,,
Door ,,,,,,,,,,
Douglas ,,,,,,,TRUE,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,,,,,
Forest ,,,,,,,,,,
Grant ,,,,,,,,,,
Green ,,,,,,,,,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,,,,,,
Jackson ,,,,TRUE,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,,,,,,,,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,,,,
Lincoln ,,,,,,,,,,TRUE
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,TRUE,,,TRUE,,
Oconto ,,,,,,,,,,TRUE
Oneida ,,,,,,,TRUE,TRUE,,TRUE
Outagamie ,,,,,,,,,,
Ozaukee ,,,,,,,,,,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,TRUE,
Polk ,,,,,,,,,,
Portage ,,,,,,,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,,
Vilas ,,,,,,,TRUE,,,
Walworth ,,,,,,,,,,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,
Waukesha ,,,TRUE,TRUE,TRUE,,,,,TRUE
Waupaca ,,,,,,TRUE,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,TRUE,,,,
Wood ,,,,TRUE,,,,,TRUE,TRUE
