,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,
Ashland ,,,,,,,,,,
Barron ,,,,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,,,
Columbia ,,,,,,,,,,
Crawford ,,,,,,,,,,
Dane ,,,,,,,,,,
Dodge ,,,,,,,,,,
Door ,,,,,,,,,,
Douglas ,,,,,,,,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,,,,,
Forest ,,,,,,,,,,
Grant ,,,,,,,,,,
Green ,,,,,,,,,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,TRUE,,,,,
Jackson ,,,,,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,,,,,,,,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,,,,
Lincoln ,,,,,,,,,,
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,,,,,,
Oconto ,,,,,,,,,,
Oneida ,,,,,,,,,,
Outagamie ,,,,,,,,,,
Ozaukee ,,,,,,,,,,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,,
Polk ,,,,,,,,,,
Portage ,,,,,,,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,TRUE,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,TRUE,
Vilas ,,,,,,,,,,
Walworth ,,,,,,,,,,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,
Waukesha ,,,,,,,,,,
Waupaca ,,,,,,,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,,,,,,TRUE,TRUE
