,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,TRUE,,
Ashland ,,,,,,,,,,
Barron ,,,,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,TRUE,,TRUE
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,TRUE,,,,
Chippewa ,,,,,,,,TRUE,,
Clark ,,,,,,,,TRUE,,
Columbia ,,TRUE,,,TRUE,,,TRUE,,
Crawford ,,,,,,,,,,
Dane ,,,,,,,,,,
Dodge ,,,,,,,,,,
Door ,,,,,,,,,,
Douglas ,,,,,,TRUE,TRUE,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,TRUE,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,TRUE,,,,
Forest ,,,,,,,,,,
Grant ,,,,,,,,,,
Green ,,,TRUE,,,,,,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,TRUE,,,,,
Jackson ,,,,,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,TRUE,,,,,,TRUE,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,,,,
Lincoln ,,,,,,,,,,TRUE
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,TRUE,,,TRUE,,TRUE
Oconto ,,,,,,,,,,
Oneida ,,,,,,,,,,
Outagamie ,,,,,,,,,,
Ozaukee ,,,,,,,,,,
Pepin ,,,,,TRUE,,,,,
Pierce ,,,,,,,,TRUE,,
Polk ,,,,,,,,,,
Portage ,,,,,,TRUE,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,TRUE,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,TRUE,TRUE
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,TRUE,
Vilas ,,,,,,,TRUE,,,
Walworth ,,,,,,,,,,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,
Waukesha ,,,TRUE,TRUE,TRUE,,,,,
Waupaca ,,,,,,,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,TRUE,,,,,TRUE,TRUE
