,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,TRUE,,
Ashland ,,,,,,,,,,
Barron ,,,,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,,,
Columbia ,,,,,,,,,,
Crawford ,,,,,,,,,,
Dane ,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dodge ,,,,,,,,,,
Door ,,,,,,,,,,
Douglas ,,,,,,,TRUE,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,TRUE,TRUE,TRUE,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,,,TRUE,,
Forest ,,,,,,,,,,
Grant ,,,,,,,,,,
Green ,,,TRUE,,,,,,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,,,,,,
Jackson ,,,,,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,,,,,,,,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,TRUE,,,
Lincoln ,,,,,,,,,,
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,,,,,,
Oconto ,,,,,,,,,,
Oneida ,,,,,,,,,,
Outagamie ,,,,,,,,,,
Ozaukee ,,,,,,,,,TRUE,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,,
Polk ,,,,,,,,,,
Portage ,,,,,,,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,TRUE,
Vilas ,,,,,,,,,,
Walworth ,,,,,,,,,,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,
Waukesha ,,,TRUE,TRUE,TRUE,,,,,
Waupaca ,,,,,,,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,,,,,,TRUE,TRUE
