,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,
Ashland ,,,,,,,,,,
Barron ,,,TRUE,,,,,,,
Bayfield ,,,,,,,,,,
Brown ,,,,,,,,,,
Buffalo ,,,,,,,,,,
Burnett ,,,,,,,,,,
Calumet ,,,,,,TRUE,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,,,
Columbia ,,,,,,,,,,
Crawford ,,,,,,,,,,
Dane ,,,,,,,,,,
Dodge ,,,TRUE,,,,,,,
Door ,,,,,,,,,,
Douglas ,,,,,,,,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,,,,,
Forest ,,,,,,,,,,
Grant ,,,,,,,,,,
Green ,,,TRUE,,,,,,,
Green Lake ,,,,,,,,,,
Iowa ,,,,,,,,,,
Iron ,,,,,,,,,,
Jackson ,,,,,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,,,
Kewaunee ,,TRUE,,,,,,,,
La Crosse ,,,,,,,,,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,,,,
Lincoln ,,TRUE,TRUE,,,,,,,
Manitowoc ,,,,,,,,,,
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,,,,,,
Oconto ,,,,,,,,,,
Oneida ,,,,,,,TRUE,TRUE,,TRUE
Outagamie ,,,,,,,,,,
Ozaukee ,TRUE,,,,,,,,,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,TRUE,
Polk ,,,,,,,,,,
Portage ,,,,,,,,,,
Price ,,,,,,,,,,
Racine ,,,,,,,,,,
Richland ,,,,,,,,,,
Rock ,,,,,,,,,,
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,,
Sauk ,,,,,,,,,,
Sawyer ,,,TRUE,,,,,,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,,
Vilas ,,,,,,,,,,
Walworth ,,,,,,,,,,
Washburn ,,,,,,,,,,
Washington ,,,,,,,,,,
Waukesha ,,,,,,,,,,TRUE
Waupaca ,,,,,,,,,,
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,,,,,,TRUE,TRUE
