,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,,,,TRUE,,TRUE
Ashland ,,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE
Barron ,,,,,,,,TRUE,,,,,TRUE,,TRUE
Bayfield ,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE
Brown ,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE
Buffalo ,,,,,,,,,,,,,,TRUE,
Burnett ,,,,,,,,,,,,,,,
Calumet ,,,,,,,,TRUE,,,TRUE,,TRUE,,TRUE
Chippewa ,,,,,,,,,,,TRUE,,TRUE,,TRUE
Clark ,,,,,,,,,,,,,TRUE,,TRUE
Columbia ,,,,,,TRUE,TRUE,,,TRUE,,,TRUE,,TRUE
Crawford ,,,,,,,,,,,,,TRUE,,
Dane ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dodge ,,,,,,,,,TRUE,,,TRUE,TRUE,,TRUE
Door ,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE
Douglas ,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE
Dunn ,,,,,,,,,,,,,,TRUE,TRUE
Eau Claire ,,,,,,,,,,,,TRUE,,,
Florence ,,,,,,,,,,,,,TRUE,,TRUE
Fond du Lac ,,,,,,,,TRUE,,TRUE,TRUE,,TRUE,,TRUE
Forest ,,,,,,,,,,TRUE,,,,TRUE,
Grant ,,,,,,,,,,,,,TRUE,,TRUE
Green ,,,,,,,,TRUE,,,,,TRUE,,TRUE
Green Lake ,,,,,,,,,,TRUE,,TRUE,TRUE,,TRUE
Iowa ,,,,,,,,,TRUE,,,,TRUE,,TRUE
Iron ,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE
Jackson ,,,,,,,,,TRUE,,,,TRUE,,TRUE
Jefferson ,,,,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,,TRUE
Juneau ,,,,,,,,,,,,,,,TRUE
Kenosha ,,,,,,,,,,,,,TRUE,,TRUE
Kewaunee ,,,,,,,,,,,,,TRUE,,TRUE
La Crosse ,,,,,,,TRUE,,,TRUE,,,TRUE,,TRUE
Lafayette ,,,,,,,,,,,,,TRUE,,
Langlade ,,,,,,,,,,,,TRUE,,,
Lincoln ,,,,,,,TRUE,TRUE,,,,,TRUE,,TRUE
Manitowoc ,,,,,,,,,TRUE,,TRUE,,TRUE,,TRUE
Marathon ,,,,,,,,,,,,,TRUE,,
Marinette ,,TRUE,,,,,,,TRUE,,,,TRUE,,TRUE
Marquette ,,,,,,,,,,,,,,,TRUE
Menominee ,,,,,,,,TRUE,,,,,TRUE,,
Milwaukee ,,,,,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE
Monroe ,,,,,,,,,,TRUE,,TRUE,TRUE,,TRUE
Oconto ,,,,,,TRUE,,TRUE,,TRUE,,,TRUE,,TRUE
Oneida ,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,TRUE
Outagamie ,,,,,,,,,,,,,TRUE,TRUE,TRUE
Ozaukee ,,,,,,TRUE,,,,,,,,TRUE,
Pepin ,,,,,,,,,,TRUE,,,TRUE,,
Pierce ,,,,,,,,,,,,,TRUE,TRUE,
Polk ,,,,,,,,,,,,TRUE,,TRUE,TRUE
Portage ,,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE
Price ,,,,,,,,,,,,,,TRUE,TRUE
Racine ,,,,,,TRUE,,,,,,,TRUE,,
Richland ,,,,,,,,,,,,,,TRUE,TRUE
Rock ,,,,,,,,,,TRUE,,,TRUE,,TRUE
Rusk ,,,,,,,,,,TRUE,,,,,
Saint Croix ,,,,,,,,TRUE,,,,,,TRUE,TRUE
Sauk ,,,,,,,,TRUE,,,,,,TRUE,TRUE
Sawyer ,,,,,,,,TRUE,,,,,TRUE,,
Shawano ,,,,,,,,,,,,,,,
Sheboygan ,,,,,,,TRUE,,,,TRUE,,,,TRUE
Taylor ,,,,,,,,,,,,,,TRUE,TRUE
Trempealeau ,,,,,,,,,,,,,,,TRUE
Vernon ,,,,,,,,,,,,TRUE,,TRUE,
Vilas ,,,,,,,,,,,,TRUE,,TRUE,TRUE
Walworth ,,,,,,,,,,,,,,TRUE,TRUE
Washburn ,,,,,,,,,,,,,TRUE,,
Washington ,,,,,,,,,,,TRUE,,,,TRUE
Waukesha ,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE
Waupaca ,,,,,,,,TRUE,,,TRUE,,,TRUE,TRUE
Waushara ,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,
Winnebago ,,,,,,,,TRUE,,,TRUE,,,,
Wood ,,,,,,,,,TRUE,,,,,TRUE,TRUE
