,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Adams ,,,,,,,,,,TRUE
Ashland ,,,,,,,,,,
Barron ,,,TRUE,,,,,,,TRUE
Bayfield ,,,,,,,,TRUE,,TRUE
Brown ,,,,,TRUE,,,,,
Buffalo ,,,,,,,,,TRUE,
Burnett ,,,,,,TRUE,,,,
Calumet ,,,,,,,,,,
Chippewa ,,,,,,,,,,
Clark ,,,,,,,,,,
Columbia ,,TRUE,,,TRUE,,,TRUE,,TRUE
Crawford ,,,,,,,,,,
Dane ,,,,,,,,TRUE,TRUE,TRUE
Dodge ,,,,,,,,TRUE,,TRUE
Door ,,,TRUE,,,,,TRUE,,TRUE
Douglas ,,,,,,TRUE,TRUE,,,
Dunn ,,,,,,,,,,
Eau Claire ,,,,,,,,,,
Florence ,,,,,,,,,,
Fond du Lac ,,,,,,TRUE,,TRUE,,TRUE
Forest ,,,,,TRUE,,,,TRUE,
Grant ,,,,,,,,TRUE,,TRUE
Green ,,,,,,,,,,
Green Lake ,,,,,,,,,,TRUE
Iowa ,,,,,,,,TRUE,,TRUE
Iron ,,,,,,,,,,
Jackson ,,,,,,,,,,
Jefferson ,,,,,,,,,,
Juneau ,,,,,,,,,,
Kenosha ,,,,,,,,TRUE,,TRUE
Kewaunee ,,,,,,,,,,
La Crosse ,,,,,,,,TRUE,,
Lafayette ,,,,,,,,,,
Langlade ,,,,,,,TRUE,,,
Lincoln ,,,,,,,,TRUE,,TRUE
Manitowoc ,,,,,,,,TRUE,,TRUE
Marathon ,,,,,,,,,,
Marinette ,,,,,,,,,,
Marquette ,,,,,,,,,,TRUE
Menominee ,,,,,,,,,,
Milwaukee ,,,,,,,,,,
Monroe ,,,,,TRUE,,,TRUE,,TRUE
Oconto ,,,,,,,,,,
Oneida ,,,,,TRUE,,,,,TRUE
Outagamie ,,,,,,,,TRUE,TRUE,TRUE
Ozaukee ,,,,,,,,,,
Pepin ,,,,,,,,,,
Pierce ,,,,,,,,,TRUE,
Polk ,,,,,,,,,TRUE,TRUE
Portage ,,,,,,TRUE,,,TRUE,TRUE
Price ,,,,,,,,,TRUE,TRUE
Racine ,TRUE,,,,,,,TRUE,,
Richland ,,,,,,,,,TRUE,TRUE
Rock ,,,,,TRUE,,,,,TRUE
Rusk ,,,,,,,,,,
Saint Croix ,,,,,,,,,TRUE,TRUE
Sauk ,,,,,,,,,TRUE,TRUE
Sawyer ,,,,,,,,TRUE,,
Shawano ,,,,,,,,,,
Sheboygan ,,,,,,,,,,
Taylor ,,,,,,,,,,
Trempealeau ,,,,,,,,,,
Vernon ,,,,,,,,,,
Vilas ,,,,,,,TRUE,,TRUE,TRUE
Walworth ,,,,,,,,,TRUE,TRUE
Washburn ,,,,,,,,TRUE,,
Washington ,,,,,,,,,,
Waukesha ,,,TRUE,TRUE,TRUE,,,,,
Waupaca ,,,,,,TRUE,,,TRUE,TRUE
Waushara ,,,,,,,,,,
Winnebago ,,,,,,,,,,
Wood ,,,,,,,,,TRUE,TRUE
